# Positron Data Export
# Export Date: 2026-02-02 16:37:34
#
# Scope Model: 3406D
# Serial Number: JZ254/0097
# Sample Rate: 250.00 MS/s
# Voltage Range: 100 mV (all channels)
# Capture Window: 2.996 µs (Pre: 0.996 µs, Post: 2.000 µs)
#
# Trigger Configuration:
#   Condition 1: A
#   Condition 2: B
#   Condition 3: C
#   Condition 4: D
#   Auto-trigger: OFF
#
# Calibration Status:
#   Channel A: Calibrated
#     Gain: 3.583508e-02 keV/(mV·ns)
#     Offset: -14.722541 keV
#     Date: 2026-02-02 10:30
#   Channel B: Calibrated
#     Gain: 3.755677e-02 keV/(mV·ns)
#     Offset: -19.619001 keV
#     Date: 2026-02-02 10:30
#   Channel C: Calibrated
#     Gain: 3.620966e-02 keV/(mV·ns)
#     Offset: -34.953938 keV
#     Date: 2026-02-02 10:29
#   Channel D: Calibrated
#     Gain: 3.946591e-02 keV/(mV·ns)
#     Offset: -21.964536 keV
#     Date: 2026-02-02 10:28
#
# Acquisition Statistics:
#   Total Events: 1,170
#   Elapsed Time: 00:00:09
#   Average Rate: 126.1 events/s
#
A_has_pulse,A_timing_ns,A_energy_kev,B_has_pulse,B_timing_ns,B_energy_kev,C_has_pulse,C_timing_ns,C_energy_kev,D_has_pulse,D_timing_ns,D_energy_kev
FALSE,0.000000,-15.176620,FALSE,0.000000,-18.306909,TRUE,6.372496,480.868893,FALSE,0.000000,-20.036091
FALSE,0.000000,-15.063785,TRUE,1.101978,266.182768,FALSE,0.000000,-39.818226,FALSE,0.000000,-19.784512
FALSE,0.000000,-14.836289,FALSE,0.000000,-19.019493,TRUE,40.000000,36.465293,FALSE,0.000000,-22.915228
FALSE,0.000000,-14.607879,FALSE,0.000000,-19.853679,TRUE,6.032877,360.246930,FALSE,0.000000,-22.540865
FALSE,0.000000,-14.834462,TRUE,2.596850,513.761350,TRUE,6.813919,499.558935,FALSE,0.000000,-26.294517
FALSE,0.000000,-14.149232,TRUE,18.000000,26.617687,FALSE,0.000000,-37.152515,TRUE,1114.323260,91.152505
TRUE,0.287545,273.028020,FALSE,0.000000,-20.208546,FALSE,0.000000,-36.233941,FALSE,0.000000,-18.535633
TRUE,3.500993,429.650445,FALSE,0.000000,-19.020905,FALSE,0.000000,-33.809183,FALSE,0.000000,-21.416774
FALSE,0.000000,-14.833548,FALSE,0.000000,-19.137294,TRUE,36.000000,135.154232,FALSE,0.000000,-20.913614
FALSE,0.000000,-13.919908,FALSE,0.000000,-20.563413,TRUE,4.966203,906.654926,FALSE,0.000000,-22.042717
TRUE,3.111097,505.664694,FALSE,0.000000,-19.613301,FALSE,0.000000,-35.079954,FALSE,0.000000,-24.055356
FALSE,0.000000,-14.263894,TRUE,0.380021,513.886336,TRUE,12.690670,172.643644,FALSE,0.000000,-26.166722
FALSE,0.000000,-14.720714,TRUE,1.044719,507.593281,FALSE,0.000000,-31.630916,FALSE,0.000000,-18.042496
FALSE,0.000000,-15.176620,FALSE,0.000000,-20.087407,TRUE,10.310992,536.689300,FALSE,0.000000,-21.175190
FALSE,0.000000,-14.036398,FALSE,0.000000,-20.324935,TRUE,3.700015,216.794134,FALSE,0.000000,-22.037705
FALSE,0.000000,-14.949124,TRUE,3.065377,355.691388,FALSE,0.000000,-35.421073,FALSE,0.000000,-23.282574
TRUE,3.565162,845.669343,FALSE,0.000000,-20.085507,FALSE,0.000000,-34.158610,FALSE,0.000000,-21.170205
TRUE,5.733368,503.262728,FALSE,0.000000,-20.677902,TRUE,3.513740,266.168489,FALSE,0.000000,-23.787739
